Pi	CntProbe	CntProbeLmt	IsCensored	Seed	Error	OFTol	Significant Figures:	
3.1415628539	1387.0	100000000	False	3836187	-2.97997e-05	5e-05	4	
3.1415584416	2419.0	100000000	False	1044982	-3.4212e-05	5e-05	4	
3.1415903045	10628.0	100000000	False	8395974	-2.3491e-06	5e-05	4	
3.1415525114	344.0	100000000	False	4662808	-4.01422e-05	5e-05	4	
3.1416149068	2529.0	100000000	False	76662	2.22532e-05	5e-05	4	
3.1416304288	57074.0	100000000	False	6242747	3.77752e-05	5e-05	4	
3.1416122004	2884.0	100000000	False	9691548	1.95468e-05	5e-05	4	
3.1416490486	7430.0	100000000	False	4938266	5.6395e-05	5e-05	4	
3.1415662651	1043.0	100000000	False	1796478	-2.63885e-05	5e-05	4	
3.1415929204	355.0	100000000	False	7924737	2.668e-07	5e-05	4	
3.1415525114	1032.0	100000000	False	8984374	-4.01422e-05	5e-05	4	
3.1415665743	15301.0	100000000	False	7738654	-2.60793e-05	5e-05	4	
3.1415591496	8644.0	100000000	False	7804418	-3.3504e-05	5e-05	4	
3.1416430595	4436.0	100000000	False	6965402	5.04059e-05	5e-05	4	
3.1416430595	1109.0	100000000	False	1959404	5.04059e-05	5e-05	4	
3.1415525114	2064.0	100000000	False	1834199	-4.01422e-05	5e-05	4	
3.1416292975	8407.0	100000000	False	6600770	3.66439e-05	5e-05	4	
3.1416239547	5823.0	100000000	False	8749759	3.13011e-05	5e-05	4	
3.1415816327	12315.0	100000000	False	6377656	-1.10209e-05	5e-05	4	
3.1415698364	6624.0	100000000	False	614997	-2.28172e-05	5e-05	4	
3.1415748674	3850.0	100000000	False	6651866	-1.77862e-05	5e-05	4	
3.1415628539	1387.0	100000000	False	7033019	-2.97997e-05	5e-05	4	
3.141635489	2939.0	100000000	False	5079312	4.28355e-05	5e-05	4	
3.1416122004	721.0	100000000	False	7043679	1.95468e-05	5e-05	4	
3.1416309013	732.0	100000000	False	474723	3.82477e-05	5e-05	4	
3.1416184971	2174.0	100000000	False	8699652	2.58435e-05	5e-05	4	
3.1416122004	721.0	100000000	False	315789	1.95468e-05	5e-05	4	
3.1416382253	1841.0	100000000	False	3768226	4.55717e-05	5e-05	4	
3.1416309013	1830.0	100000000	False	6887261	3.82477e-05	5e-05	4	
3.1416309013	366.0	100000000	False	4994377	3.82477e-05	5e-05	4	
3.1416216216	1453.0	100000000	False	2306422	2.8968e-05	5e-05	4	
