ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
127	2.8985507246	100.0	3720655	-0.243041929	0.0004630088806152344	Parallel	
128	2.9411764706	100.0	6911959	-0.200416183	0.0003502368927001953	Parallel	
129	3.4482758621	100.0	8973400	0.3066832085	0.00040912628173828125	Parallel	
130	2.8571428571	100.0	404720	-0.2844497964	0.00039315223693847656	Parallel	
131	3.3898305085	100.0	8317960	0.2482378549	0.0003559589385986328	Parallel	
132	3.2258064516	100.0	976468	0.084213798	0.00036215782165527344	Parallel	
133	2.9411764706	100.0	838682	-0.200416183	0.00039005279541015625	Parallel	
134	3.1746031746	100.0	7768475	0.033010521	0.00031304359436035156	Parallel	
135	3.1746031746	100.0	9280370	0.033010521	0.00035190582275390625	Parallel	
136	3.2258064516	100.0	8441729	0.084213798	0.0003190040588378906	Parallel	
137	2.8985507246	100.0	7825115	-0.243041929	0.0005462169647216797	Parallel	
138	2.9411764706	100.0	3623208	-0.200416183	0.00039315223693847656	Parallel	
139	3.0769230769	100.0	6076783	-0.0646695767	0.0006480216979980469	Parallel	
140	3.3333333333	100.0	7715954	0.1917406797	0.0006430149078369141	Parallel	
141	3.1746031746	100.0	2803846	0.033010521	0.0005650520324707031	Parallel	
142	3.0769230769	100.0	139560	-0.0646695767	0.0003159046173095703	Parallel	
143	3.0303030303	100.0	6029066	-0.1112896233	0.0003101825714111328	Parallel	
144	3.5714285714	100.0	992577	0.4298359178	0.0003788471221923828	Parallel	
145	3.6363636364	100.0	3902854	0.4947709828	0.00031876564025878906	Parallel	
146	2.9411764706	100.0	5742371	-0.200416183	0.0003151893615722656	Parallel	
147	3.0303030303	100.0	2224078	-0.1112896233	0.00031280517578125	Parallel	
148	3.0769230769	100.0	3466962	-0.0646695767	0.00031495094299316406	Parallel	
149	2.9850746269	100.0	3867225	-0.1565180267	0.00031375885009765625	Parallel	
150	3.2258064516	100.0	9442724	0.084213798	0.00031375885009765625	Parallel	
151	3.0769230769	100.0	682753	-0.0646695767	0.0003139972686767578	Parallel	
152	3.125	100.0	9597720	-0.0165926536	0.00031304359436035156	Parallel	
153	3.2258064516	100.0	4609943	0.084213798	0.00031495094299316406	Parallel	
154	3.5087719298	100.0	5211915	0.3671792762	0.0003120899200439453	Parallel	
155	3.2786885246	100.0	2928439	0.137095871	0.0003190040588378906	Parallel	
156	3.5714285714	100.0	4851547	0.4298359178	0.0003159046173095703	Parallel	
157	3.1746031746	100.0	2584112	0.033010521	0.0003161430358886719	Parallel	
158	3.5087719298	100.0	6225648	0.3671792762	0.0003190040588378906	Parallel	
159	3.0769230769	100.0	1807371	-0.0646695767	0.00031280517578125	Parallel	
160	2.9850746269	100.0	7112999	-0.1565180267	0.00031685829162597656	Parallel	
161	4.2553191489	100.0	5215839	1.1137264953	0.00031685829162597656	Parallel	
162	2.6666666667	100.0	7031681	-0.4749259869	0.0003159046173095703	Parallel	
163	2.9850746269	100.0	5970942	-0.1565180267	0.00031280517578125	Parallel	
164	3.7037037037	100.0	9864355	0.5621110501	0.0003159046173095703	Parallel	
165	2.8985507246	100.0	1091783	-0.243041929	0.0003173351287841797	Parallel	
166	3.5087719298	100.0	6942958	0.3671792762	0.0003418922424316406	Parallel	
167	3.125	100.0	3913542	-0.0165926536	0.000370025634765625	Parallel	
168	2.9411764706	100.0	7852165	-0.200416183	0.00036907196044921875	Parallel	
169	3.0769230769	100.0	164039	-0.0646695767	0.0003459453582763672	Parallel	
170	2.9411764706	100.0	4791526	-0.200416183	0.00046181678771972656	Parallel	
171	2.8571428571	100.0	2051910	-0.2844497964	0.0006949901580810547	Parallel	
172	3.1746031746	100.0	4486551	0.033010521	0.0008518695831298828	Parallel	
173	2.9850746269	100.0	6642057	-0.1565180267	0.0006511211395263672	Parallel	
174	3.2258064516	100.0	1338737	0.084213798	0.0007002353668212891	Parallel	
175	3.1746031746	100.0	661578	0.033010521	0.0006108283996582031	Parallel	
176	2.8985507246	100.0	198021	-0.243041929	0.0005700588226318359	Parallel	
177	3.4482758621	100.0	1147331	0.3066832085	0.0005478858947753906	Parallel	
178	3.1746031746	100.0	9207338	0.033010521	0.0005900859832763672	Parallel	
