sampleId	piHat	numThrows	numThrowsLmt	isCensored	seedInit	OFerror	signifDigits	runtime	solverName	
312	3.1416	3863.0	20000	FALSE	9929201	7.19290706685527e-06	5	0.009392738342285156	Dart	
313	3.1416	466.0	20000	FALSE	6233481	3.8301287553554886e-05	5	0.0012862682342529297	Dart	
314	3.1416	1985.0	20000	FALSE	605821	3.08871536525146e-05	5	0.004806995391845703	Dart	
315	3.1416	1398.0	20000	FALSE	1926783	3.8301287553554886e-05	5	0.003247976303100586	Dart	
316	3.1416	3700.0	20000	FALSE	1943486	2.9021621621438953e-05	5	0.007875204086303711	Dart	
317	3.1416	2917.0	20000	FALSE	2772399	8.781007884817171e-06	5	0.006257295608520508	Dart	
318	3.1415	10894.0	20000	FALSE	2251322	4.679496970805275e-05	5	0.02388596534729004	Dart	
319	3.1416	452.0	20000	FALSE	7477291	3.203539824525592e-07	5	0.0009510517120361328	Dart	
320	3.1416	1328.0	20000	FALSE	3378984	2.63349397591206e-05	5	0.002779245376586914	Dart	
321	3.1416	233.0	20000	FALSE	5432596	3.8301287553554886e-05	5	0.0004820823669433594	Dart	
322	3.1416	904.0	20000	FALSE	584271	3.203539824525592e-07	5	0.0022230148315429688	Dart	
323	3.1416	19734.0	20000	FALSE	7839136	9.545373467201301e-06	5	0.04728507995605469	Dart	
324	3.1416	13108.0	20000	FALSE	1610804	3.203539824525592e-07	5	0.036405086517333984	Dart	
325	3.1416	438.0	20000	FALSE	8703264	4.008858447512864e-05	5	0.0018031597137451172	Dart	
326	3.1416	438.0	20000	FALSE	1720253	4.008858447512864e-05	5	0.001811981201171875	Dart	
327	3.1416	466.0	20000	FALSE	1811493	3.8301287553554886e-05	5	0.0011532306671142578	Dart	
328	3.1416	219.0	20000	FALSE	6437103	4.008858447512864e-05	5	0.0005559921264648438	Dart	
329	3.1416	5121.0	20000	FALSE	7415795	1.8688654559895213e-05	5	0.011765003204345703	Dart	
330	3.1416	452.0	20000	FALSE	6366095	3.203539824525592e-07	5	0.0012700557708740234	Dart	
331	3.1416	2698.0	20000	FALSE	2959098	6.239733135515735e-06	5	0.007297992706298828	Dart	
332	3.1416	5256.0	20000	FALSE	6292002	4.008858447512864e-05	5	0.013093233108520508	Dart	
333	3.1416	2521.0	20000	FALSE	1602579	1.7872034906663004e-05	5	0.006179094314575195	Dart	
334	3.1416	6393.0	20000	FALSE	5073525	3.1517566088101745e-05	5	0.018194198608398438	Dart	
335	3.1416	1328.0	20000	FALSE	935912	2.63349397591206e-05	5	0.004848003387451172	Dart	
336	3.1416	932.0	20000	FALSE	6943688	3.8301287553554886e-05	5	0.0020351409912109375	Dart	
337	3.1415	2614.0	20000	FALSE	2877502	4.707589900521114e-05	5	0.006060123443603516	Dart	
338	3.1416	5256.0	20000	FALSE	3097139	4.008858447512864e-05	5	0.014267206192016602	Dart	
339	3.1416	876.0	20000	FALSE	7083009	4.008858447512864e-05	5	0.0020110607147216797	Dart	
340	3.1416	8649.0	20000	FALSE	6658600	4.227108336207763e-05	5	0.020370960235595703	Dart	
341	3.1416	452.0	20000	FALSE	866325	3.203539824525592e-07	5	0.000949859619140625	Dart	
342	3.1416	219.0	20000	FALSE	1327731	4.008858447512864e-05	5	0.0004611015319824219	Dart	
343	3.1416	3821.0	20000	FALSE	5845558	6.62774142901057e-06	5	0.009034156799316406	Dart	
344	3.1416	2218.0	20000	FALSE	2013828	2.361893597857545e-05	5	0.006061077117919922	Dart	
345	3.1416	233.0	20000	FALSE	9087292	3.8301287553554886e-05	5	0.0007150173187255859	Dart	
346	3.1416	1850.0	20000	FALSE	9463715	2.9021621621438953e-05	5	0.006151914596557617	Dart	
347	3.1415	10880.0	20000	FALSE	281622	4.848235294119263e-05	5	0.02470707893371582	Dart	
348	3.1416	1370.0	20000	FALSE	264916	1.3239416058130615e-05	5	0.0031440258026123047	Dart	
349	3.1416	3672.0	20000	FALSE	8191767	1.960043572957204e-05	5	0.008462667465209961	Dart	
350	3.1416	3588.0	20000	FALSE	4420568	9.545373467201301e-06	5	0.008906841278076172	Dart	
351	3.1416	904.0	20000	FALSE	7469539	3.203539824525592e-07	5	0.0022211074829101562	Dart	
352	3.1416	1095.0	20000	FALSE	7696062	4.008858447512864e-05	5	0.0026941299438476562	Dart	
353	3.1416	1971.0	20000	FALSE	831377	4.008858447512864e-05	5	0.0061948299407958984	Dart	
354	3.1416	2861.0	20000	FALSE	1758363	3.370450891315713e-05	5	0.0088958740234375	Dart	
355	3.1416	7502.0	20000	FALSE	2647224	3.0349933351381253e-05	5	0.017773151397705078	Dart	
356	3.1416	1356.0	20000	FALSE	1426394	3.203539824525592e-07	5	0.004273891448974609	Dart	
357	3.1416	1780.0	20000	FALSE	3539559	1.9566292134953756e-05	5	0.003849029541015625	Dart	
358	3.1415	15670.0	20000	FALSE	2558519	4.824773452449804e-05	5	0.03389620780944824	Dart	
359	3.1416	657.0	20000	FALSE	9811423	4.008858447512864e-05	5	0.001435995101928711	Dart	
360	3.1416	2782.0	20000	FALSE	8967580	3.213040977723125e-05	5	0.007527828216552734	Dart	
361	3.1416	1617.0	20000	FALSE	2033978	2.768447742740321e-05	5	0.004506111145019531	Dart	
362	3.1416	7339.0	20000	FALSE	7113332	2.017868919468313e-05	5	0.01901388168334961	Dart	
363	3.1416	219.0	20000	FALSE	1737715	4.008858447512864e-05	5	0.00045800209045410156	Dart	
364	3.1416	932.0	20000	FALSE	8417838	3.8301287553554886e-05	5	0.0019440650939941406	Dart	
365	3.1416	1356.0	20000	FALSE	703334	3.203539824525592e-07	5	0.0029370784759521484	Dart	
366	3.1416	9366.0	20000	FALSE	5224277	1.6687123638892132e-05	5	0.019922971725463867	Dart	
367	3.1416	18556.0	20000	FALSE	256272	3.275029101112992e-05	5	0.04106712341308594	Dart	
368	3.1416	890.0	20000	FALSE	8667499	1.9566292134953756e-05	5	0.0026960372924804688	Dart	
369	3.1416	452.0	20000	FALSE	4375418	3.203539824525592e-07	5	0.0013611316680908203	Dart	
370	3.1416	5685.0	20000	FALSE	6022576	8.103605980469553e-06	5	0.012310981750488281	Dart	
371	3.1415	5228.0	20000	FALSE	4370298	4.707589900521114e-05	5	0.011185169219970703	Dart	
372	3.1416	233.0	20000	FALSE	7765834	3.8301287553554886e-05	5	0.000492095947265625	Dart	
373	3.1416	219.0	20000	FALSE	6285577	4.008858447512864e-05	5	0.0004611015319824219	Dart	
374	3.1416	10489.0	20000	FALSE	4243208	1.570992468291621e-05	5	0.022644996643066406	Dart	
375	3.1416	438.0	20000	FALSE	5156387	4.008858447512864e-05	5	0.0016660690307617188	Dart	
376	3.1416	219.0	20000	FALSE	6349745	4.008858447512864e-05	5	0.0008299350738525391	Dart	
377	3.1416	219.0	20000	FALSE	5599245	4.008858447512864e-05	5	0.0007622241973876953	Dart	
378	3.1416	4315.0	20000	FALSE	8606854	6.473001158635583e-06	5	0.011862993240356445	Dart	
379	3.1416	3779.0	20000	FALSE	9191340	2.0755596718657898e-05	5	0.00987696647644043	Dart	
380	3.1416	12483.0	20000	FALSE	4227604	4.008858447512864e-05	5	0.03351020812988281	Dart	
381	3.1416	1533.0	20000	FALSE	8956688	4.008858447512864e-05	5	0.0035958290100097656	Dart	
382	3.1416	15731.0	20000	FALSE	9353141	2.4994634797437243e-05	5	0.03373599052429199	Dart	
383	3.1415	8704.0	20000	FALSE	7119813	4.848235294119263e-05	5	0.020706653594970703	Dart	
384	3.1416	1878.0	20000	FALSE	4121703	4.744259850886223e-05	5	0.004287004470825195	Dart	
385	3.1416	657.0	20000	FALSE	7474124	4.008858447512864e-05	5	0.001852273941040039	Dart	
386	3.1416	219.0	20000	FALSE	6065644	4.008858447512864e-05	5	0.0005881786346435547	Dart	
387	3.1416	11244.0	20000	FALSE	9219201	5.976022767750777e-06	5	0.030045270919799805	Dart	
388	3.1416	1533.0	20000	FALSE	3175383	4.008858447512864e-05	5	0.004867076873779297	Dart	
389	3.1416	14454.0	20000	FALSE	2455772	4.008858447512864e-05	5	0.03381085395812988	Dart	
390	3.1416	932.0	20000	FALSE	1693339	3.8301287553554886e-05	5	0.0019719600677490234	Dart	
391	3.1416	452.0	20000	FALSE	4282166	3.203539824525592e-07	5	0.000949859619140625	Dart	
392	3.1416	10284.0	20000	FALSE	5486188	1.3447919097853145e-05	5	0.023940086364746094	Dart	
393	3.1416	2917.0	20000	FALSE	8964341	8.781007884817171e-06	5	0.009785175323486328	Dart	
394	3.1416	2642.0	20000	FALSE	7567724	3.317532172619764e-05	5	0.00712895393371582	Dart	
395	3.1416	657.0	20000	FALSE	2714887	4.008858447512864e-05	5	0.0016620159149169922	Dart	
396	3.1416	699.0	20000	FALSE	8271847	3.8301287553554886e-05	5	0.0019011497497558594	Dart	
397	3.1416	904.0	20000	FALSE	7497684	3.203539824525592e-07	5	0.0022389888763427734	Dart	
398	3.1416	4627.0	20000	FALSE	9682829	3.219368921536514e-05	5	0.013514041900634766	Dart	
399	3.1416	438.0	20000	FALSE	2939453	4.008858447512864e-05	5	0.0015330314636230469	Dart	
400	3.14159	2027.0	50000	FALSE	2193477	4.045485940018523e-06	6	0.004857063293457031	Dart	
401	3.1416	29245.0	50000	FALSE	4364190	4.2541631048997886e-06	6	0.06609487533569336	Dart	
402	3.14159	4054.0	50000	FALSE	158391	4.045485940018523e-06	6	0.009285688400268555	Dart	
403	3.14159	452.0	50000	FALSE	4713991	3.203539824525592e-07	6	0.0009398460388183594	Dart	
404	3.14159	452.0	50000	FALSE	9819713	3.203539824525592e-07	6	0.0010800361633300781	Dart	
405	3.14159	20708.0	50000	FALSE	9299468	4.807842379772609e-06	6	0.04445791244506836	Dart	
406	3.14159	904.0	50000	FALSE	6822925	3.203539824525592e-07	6	0.0020949840545654297	Dart	
407	3.14159	5205.0	50000	FALSE	4573538	2.0205571567011305e-06	6	0.010868072509765625	Dart	
408	3.14159	452.0	50000	FALSE	385270	3.203539824525592e-07	6	0.0009467601776123047	Dart	
409	3.1416	4534.0	50000	FALSE	373855	4.223996470820168e-06	6	0.011009931564331055	Dart	
