Experiment	ID	RunTime	IsCensored	OFTol	Error	CntProbe	Sig Figs	CntProbeLmt	Pi Hat	SeedInit	
Parallel	68	0.00010180473327636719	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	4999958	
Parallel	69	0.00032019615173339844	False	0.05	-0.0239455948	53.0	1	15625000000	3.1176470588	7789161	
Parallel	70	9.703636169433594e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	1374112	
Parallel	71	9.846687316894531e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	9378324	
Parallel	72	0.00017905235290527344	False	0.05	-0.0304815425	28.0	1	15625000000	3.1111111111	3953708	
Parallel	73	9.036064147949219e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	653760	
Parallel	74	0.00015115737915039062	False	0.05	-0.0165926536	25.0	1	15625000000	3.125	9033471	
Parallel	75	0.00649571418762207	False	0.05	0.0077672326	1107.0	1	15625000000	3.1493598862	4677371	
Parallel	76	0.0010533332824707031	False	0.05	-0.0012417764	179.0	1	15625000000	3.1403508772	5080702	
Parallel	77	0.000141143798828125	False	0.05	0.0012644893	22.0	1	15625000000	3.1428571429	6768196	
Parallel	78	9.1552734375e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	6001296	
Parallel	79	0.0008115768432617188	False	0.05	-0.0749259869	138.0	1	15625000000	3.0666666667	7648768	
Parallel	80	0.004083156585693359	False	0.05	-0.0896446016	705.0	1	15625000000	3.0519480519	7439360	
Parallel	81	0.00012445449829101562	False	0.05	-0.0506835627	17.0	1	15625000000	3.0909090909	1996779	
Parallel	82	0.00013303756713867188	False	0.05	-0.0646695767	20.0	1	15625000000	3.0769230769	1987111	
Parallel	83	7.772445678710938e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	1505896	
Parallel	84	0.00010991096496582031	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	144032	
Parallel	85	9.870529174804688e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	7542505	
Parallel	86	9.965896606445312e-05	False	0.05	-0.0304815425	14.0	1	15625000000	3.1111111111	8313719	
Parallel	87	7.510185241699219e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	4893577	
Parallel	88	0.00037288665771484375	False	0.05	-0.0889610746	58.0	1	15625000000	3.0526315789	6491165	
Parallel	89	9.489059448242188e-05	False	0.05	0.0012644893	11.0	1	15625000000	3.1428571429	105771	
Parallel	90	0.0017964839935302734	False	0.05	-0.0868662854	307.0	1	15625000000	3.0547263682	2198936	
Parallel	91	0.0009827613830566406	False	0.05	-0.0785295905	170.0	1	15625000000	3.0630630631	8562368	
Parallel	92	0.00020599365234375	False	0.05	-0.0415926536	31.0	1	15625000000	3.1	5919067	
Parallel	93	0.0009527206420898438	False	0.05	-0.0736314885	158.0	1	15625000000	3.067961165	4221160	
Parallel	94	0.00016379356384277344	False	0.05	-0.0165926536	25.0	1	15625000000	3.125	3157539	
Parallel	95	0.000213623046875	False	0.05	-0.0506835627	34.0	1	15625000000	3.0909090909	7677591	
Parallel	96	0.0033943653106689453	False	0.05	-0.0881167178	571.0	1	15625000000	3.0534759358	3513131	
Parallel	97	0.0001766681671142578	False	0.05	-0.0304815425	28.0	1	15625000000	3.1111111111	2104708	
Parallel	98	0.0006878376007080078	False	0.05	-0.0766575887	118.0	1	15625000000	3.0649350649	9476336	
Parallel	99	0.0009207725524902344	False	0.05	-0.0736314885	158.0	1	15625000000	3.067961165	7477750	
Parallel	100	0.0005574226379394531	False	0.05	-0.0082593203	94.0	1	15625000000	3.1333333333	8542683	
Parallel	101	0.014261245727539062	False	0.005	0.0027782073	2374.0	2	15625000000	3.1443708609	4359619	
Parallel	102	0.00014448165893554688	False	0.005	0.0012644893	22.0	2	15625000000	3.1428571429	3688097	
Parallel	103	0.00620722770690918	False	0.005	-0.0062985359	1066.0	2	15625000000	3.1352941176	7992212	
Parallel	104	0.0020439624786376953	False	0.005	0.0012644893	341.0	2	15625000000	3.1428571429	5877218	
Parallel	105	0.0007448196411132812	False	0.005	-0.0023521473	124.0	2	15625000000	3.1392405063	5634032	
Parallel	106	0.0052471160888671875	False	0.005	-0.0047505483	894.0	2	15625000000	3.1368421053	5032990	
Parallel	107	0.00014328956604003906	False	0.005	0.0012644893	22.0	2	15625000000	3.1428571429	8074269	
Parallel	108	7.724761962890625e-05	False	0.005	0.0012644893	11.0	2	15625000000	3.1428571429	8622966	
Parallel	109	0.00017452239990234375	False	0.005	0.0012644893	22.0	2	15625000000	3.1428571429	3604821	
Parallel	110	8.153915405273438e-05	False	0.005	0.0012644893	11.0	2	15625000000	3.1428571429	1446809	
Parallel	111	8.130073547363281e-05	False	0.005	0.0012644893	11.0	2	15625000000	3.1428571429	378912	
Parallel	112	0.02104806900024414	False	0.005	0.0032836715	3560.0	2	15625000000	3.1448763251	6638490	
Parallel	113	0.00032830238342285156	False	0.005	0.0012644893	55.0	2	15625000000	3.1428571429	1422585	
Parallel	114	0.001928567886352539	False	0.005	0.0012644893	330.0	2	15625000000	3.1428571429	862032	
