sampleId	piHat	cntProbe	isCensored	seedInit	OFError	signifDigits	runtime	solverName	
118	3.14	344.0	FALSE	6921870	4.0142174475121806e-05	3	0.001094818115234375	Needles1	
119	3.14	256.0	FALSE	2666839	0.0004883591114723806	3	0.0007901191711425781	Needles1	
120	3.14	553.0	FALSE	6942367	0.00045280095545452426	3	0.0017178058624267578	Needles1	
121	3.14	333.0	FALSE	2915397	8.321962773605307e-05	3	0.0010328292846679688	Needles1	
122	3.14	421.0	FALSE	9445098	0.0001983911861191956	3	0.0014243125915527344	Needles1	
123	3.14	366.0	FALSE	39891	3.824769755356172e-05	3	0.0011529922485351562	Needles1	
124	3.14	710.0	FALSE	9660758	2.667639824593948e-07	3	0.002232074737548828	Needles1	
125	3.14	556.0	FALSE	6873292	0.0003497157368927972	3	0.002162933349609375	Needles1	
126	3.14	564.0	FALSE	6416139	0.00046862774704736765	3	0.0020651817321777344	Needles1	
127	3.14	611.0	FALSE	8739625	0.00020447878280194232	3	0.0019600391387939453	Needles1	
128	3.14	366.0	FALSE	6146740	3.824769755356172e-05	3	0.0013451576232910156	Needles1	
129	3.14	256.0	FALSE	1524210	0.0004883591114723806	3	0.0007939338684082031	Needles1	
130	3.14	278.0	FALSE	7660514	0.0003497157368927972	3	0.0008618831634521484	Needles1	
131	3.14	520.0	FALSE	7020748	0.0004013041139274698	3	0.0016448497772216797	Needles1	
132	3.14	666.0	FALSE	2966258	8.321962773605307e-05	3	0.0020799636840820312	Needles1	
133	3.14	509.0	FALSE	176920	0.0003826550519754335	3	0.0015971660614013672	Needles1	
134	3.14	410.0	FALSE	8749034	0.0001697985172794958	3	0.0013079643249511719	Needles1	
135	3.14	410.0	FALSE	7763091	0.0001697985172794958	3	0.0015120506286621094	Needles1	
136	3.14	322.0	FALSE	7579325	0.00012923895585359446	3	0.0017910003662109375	Needles1	
137	3.14	366.0	FALSE	3510947	3.824769755356172e-05	3	0.0019409656524658203	Needles1	
138	3.14	410.0	FALSE	5622480	0.0001697985172794958	3	0.0019042491912841797	Needles1	
139	3.14	487.0	FALSE	5313648	0.00034283028096782076	3	0.0018420219421386719	Needles1	
140	3.14	754.0	FALSE	4464324	7.401307666654589e-05	3	0.0027379989624023438	Needles1	
141	3.14	278.0	FALSE	4553373	0.0003497157368927972	3	0.0010120868682861328	Needles1	
142	3.14	476.0	FALSE	7440386	0.0003215378291416826	3	0.0015411376953125	Needles1	
143	3.14	476.0	FALSE	2454480	0.0003215378291416826	3	0.0015041828155517578	Needles1	
144	3.14	399.0	FALSE	2366700	0.00013962987456705989	3	0.0012590885162353516	Needles1	
145	3.14	278.0	FALSE	2598142	0.0003497157368927972	3	0.0008697509765625	Needles1	
146	3.14	344.0	FALSE	7256773	4.0142174475121806e-05	3	0.0010919570922851562	Needles1	
147	3.14	666.0	FALSE	9195941	8.321962773605307e-05	3	0.0021021366119384766	Needles1	
148	3.14	399.0	FALSE	6991227	0.00013962987456705989	3	0.001241922378540039	Needles1	
149	3.14	300.0	FALSE	3470056	0.00023139704549723916	3	0.0009419918060302734	Needles1	
150	3.14	710.0	FALSE	8010728	2.667639824593948e-07	3	0.0022377967834472656	Needles1	
151	3.14	278.0	FALSE	4945345	0.0003497157368927972	3	0.0008709430694580078	Needles1	
152	3.14	278.0	FALSE	6914901	0.0003497157368927972	3	0.0008711814880371094	Needles1	
153	3.14	300.0	FALSE	3655202	0.00023139704549723916	3	0.0009448528289794922	Needles1	
154	3.14	366.0	FALSE	9244992	3.824769755356172e-05	3	0.0012998580932617188	Needles1	
155	3.14	278.0	FALSE	9180575	0.0003497157368927972	3	0.001561880111694336	Needles1	
156	3.14	421.0	FALSE	9962448	0.0001983911861191956	3	0.002228975296020508	Needles1	
157	3.14	388.0	FALSE	5563698	0.0001077512682994275	3	0.0018019676208496094	Needles1	
158	3.14	421.0	FALSE	7121038	0.0001983911861191956	3	0.0015139579772949219	Needles1	
159	3.14	542.0	FALSE	6849429	0.00043633191724623543	3	0.002112150192260742	Needles1	
160	3.14	710.0	FALSE	7144110	2.667639824593948e-07	3	0.0025930404663085938	Needles1	
161	3.14	278.0	FALSE	1233946	0.0003497157368927972	3	0.0008702278137207031	Needles1	
162	3.14	688.0	FALSE	3271632	4.0142174475121806e-05	3	0.0022242069244384766	Needles1	
163	3.14	289.0	FALSE	9448681	0.00028830576391314366	3	0.0008959770202636719	Needles1	
164	3.14	344.0	FALSE	6358649	4.0142174475121806e-05	3	0.0011258125305175781	Needles1	
165	3.14	454.0	FALSE	799093	0.0002758585207267572	3	0.0014269351959228516	Needles1	
166	3.14	388.0	FALSE	4495946	0.0001077512682994275	3	0.0012328624725341797	Needles1	
167	3.14	476.0	FALSE	3435540	0.0003215378291416826	3	0.0015139579772949219	Needles1	
168	3.14	256.0	FALSE	8533776	0.0004883591114723806	3	0.0008099079132080078	Needles1	
169	3.14	410.0	FALSE	3454665	0.0001697985172794958	3	0.0012900829315185547	Needles1	
170	3.14	333.0	FALSE	5843433	8.321962773605307e-05	3	0.0010840892791748047	Needles1	
171	3.14	644.0	FALSE	691396	0.00012923895585359446	3	0.002029895782470703	Needles1	
172	3.14	311.0	FALSE	4498446	0.000178512175858625	3	0.0009789466857910156	Needles1	
173	3.14	622.0	FALSE	4769362	0.000178512175858625	3	0.0019719600677490234	Needles1	
174	3.14	553.0	FALSE	9232980	0.00045280095545452426	3	0.0017359256744384766	Needles1	
175	3.14	589.0	FALSE	5461534	0.00025932025666675074	3	0.0018639564514160156	Needles1	
176	3.14	256.0	FALSE	9300211	0.0004883591114723806	3	0.0008099079132080078	Needles1	
177	3.14	267.0	FALSE	6394499	0.0004161830017648249	3	0.0008339881896972656	Needles1	
178	3.14	644.0	FALSE	336185	0.00012923895585359446	3	0.0020232200622558594	Needles1	
179	3.14	256.0	FALSE	1649549	0.0004883591114723806	3	0.0008032321929931641	Needles1	
180	3.14	432.0	FALSE	6649996	0.0002255282281815596	3	0.0013670921325683594	Needles1	
181	3.14	388.0	FALSE	2883630	0.0001077512682994275	3	0.0012230873107910156	Needles1	
182	3.14	267.0	FALSE	7892692	0.0004161830017648249	3	0.0009617805480957031	Needles1	
183	3.14	399.0	FALSE	9803027	0.00013962987456705989	3	0.0014522075653076172	Needles1	
184	3.14	688.0	FALSE	7663770	4.0142174475121806e-05	3	0.0025200843811035156	Needles1	
185	3.14	256.0	FALSE	8458766	0.0004883591114723806	3	0.0008511543273925781	Needles1	
186	3.14	633.0	FALSE	3411349	0.00015344763466496047	3	0.001970052719116211	Needles1	
187	3.14	465.0	FALSE	2891159	0.00029923830189204637	3	0.0014460086822509766	Needles1	
188	3.14	377.0	FALSE	3221775	7.401307666654589e-05	3	0.0011708736419677734	Needles1	
189	3.14	399.0	FALSE	5405653	0.00013962987456705989	3	0.0012640953063964844	Needles1	
190	3.14	311.0	FALSE	3174563	0.000178512175858625	3	0.0009679794311523438	Needles1	
191	3.14	377.0	FALSE	2368435	7.401307666654589e-05	3	0.0011780261993408203	Needles1	
192	3.14	256.0	FALSE	3767695	0.0004883591114723806	3	0.0008101463317871094	Needles1	
193	3.14	633.0	FALSE	8024939	0.00015344763466496047	3	0.002009153366088867	Needles1	
194	3.14	545.0	FALSE	3869639	0.00038227895023057457	3	0.002435922622680664	Needles1	
195	3.14	278.0	FALSE	6033737	0.0003497157368927972	3	0.0012359619140625	Needles1	
196	3.14	476.0	FALSE	771033	0.0003215378291416826	3	0.0021321773529052734	Needles1	
197	3.14	289.0	FALSE	5387786	0.00028830576391314366	3	0.001190185546875	Needles1	
198	3.14	732.0	FALSE	361559	3.824769755356172e-05	3	0.0026710033416748047	Needles1	
199	3.14	611.0	FALSE	5549966	0.00020447878280194232	3	0.0021529197692871094	Needles1	
200	3.142	4348.0	FALSE	1358054	2.5843519826374006e-05	4	0.013784170150756836	Needles1	
201	3.142	2507.0	FALSE	8714928	1.1356435062559456e-05	4	0.007951974868774414	Needles1	
202	3.142	1409.0	FALSE	1039737	9.598963467194466e-06	4	0.004464864730834961	Needles1	
203	3.142	1043.0	FALSE	421041	2.6388529759113766e-05	4	0.0032651424407958984	Needles1	
204	3.142	1043.0	FALSE	5577646	2.6388529759113766e-05	4	0.003668069839477539	Needles1	
205	3.142	1065.0	FALSE	3176401	2.667639824593948e-07	4	0.0036280155181884766	Needles1	
206	3.142	1808.0	FALSE	1794769	2.333250904440476e-05	4	0.005699872970581055	Needles1	
207	3.142	3305.0	FALSE	4662990	4.2327398593222654e-05	4	0.010848045349121094	Needles1	
208	3.142	1387.0	FALSE	6820915	2.9799682865316868e-05	4	0.004373073577880859	Needles1	
209	3.142	1453.0	FALSE	1081819	2.896803162144579e-05	4	0.00455021858215332	Needles1	
210	3.142	355.0	FALSE	7620777	2.667639824593948e-07	4	0.0010960102081298828	Needles1	
211	3.142	721.0	FALSE	5141668	1.9546845729578877e-05	4	0.002321004867553711	Needles1	
212	3.142	1065.0	FALSE	2897086	2.667639824593948e-07	4	0.005747795104980469	Needles1	
213	3.142	2796.0	FALSE	4059315	1.961988213494692e-05	4	0.010662078857421875	Needles1	
214	3.142	721.0	FALSE	2433716	1.9546845729578877e-05	4	0.002269268035888672	Needles1	
215	3.142	1409.0	FALSE	8586100	9.598963467194466e-06	4	0.005765199661254883	Needles1	
216	3.142	2108.0	FALSE	8675940	1.2921846333835418e-05	4	0.0068359375	Needles1	
217	3.142	2573.0	FALSE	1669198	4.348804614151547e-05	4	0.007988929748535156	Needles1	
218	3.142	1442.0	FALSE	3244579	1.9546845729578877e-05	4	0.004492998123168945	Needles1	
219	3.142	688.0	FALSE	5724094	4.0142174475121806e-05	4	0.0021800994873046875	Needles1	
220	3.142	1098.0	FALSE	6305395	3.824769755356172e-05	4	0.0038268566131591797	Needles1	
221	3.142	3440.0	FALSE	3885676	4.0142174475121806e-05	4	0.012485265731811523	Needles1	
222	3.142	3638.0	FALSE	8202275	3.0835183747690564e-05	4	0.014294147491455078	Needles1	
223	3.142	1032.0	FALSE	1406964	4.0142174475121806e-05	4	0.003206968307495117	Needles1	
224	3.142	699.0	FALSE	6576202	1.961988213494692e-05	4	0.0021750926971435547	Needles1	
225	3.142	344.0	FALSE	6661975	4.0142174475121806e-05	4	0.0010929107666015625	Needles1	
226	3.142	2130.0	FALSE	7091762	2.667639824593948e-07	4	0.006694793701171875	Needles1	
227	3.142	1420.0	FALSE	1541084	2.667639824593948e-07	4	0.004530906677246094	Needles1	
