Experiment	Seed	Pi	Error	OFTol	Significant Figures:	ID	CntProbeLmt	CntProbe	IsCensored	RunTime	
Dart	3150720	3.1415885545	-4.0455e-06	5e-06	5	488	15625000000	4054.0	False	0.008182764053344727	
Dart	9161809	3.1415882039	-4.3961e-06	5e-06	5	489	15625000000	5629.0	False	0.011513233184814453	
Dart	6081148	3.1415854175	-7.1825e-06	5e-06	5	490	15625000000	56616.0	False	0.11333155632019043	
Dart	2152030	3.1415920091	-5.909e-07	5e-06	5	491	15625000000	9711.0	False	0.019266605377197266	
Dart	3582037	3.1415947822	2.1822e-06	5e-06	5	492	15625000000	4753.0	False	0.009840965270996094	
Dart	8498331	3.1415889925	-3.6075e-06	5e-06	5	493	15625000000	9012.0	False	0.01773548126220703	
Dart	8116626	3.1415929204	3.204e-07	5e-06	5	494	15625000000	452.0	False	0.000896453857421875	
Dart	2819956	3.141591424	-1.176e-06	5e-06	5	495	15625000000	29571.0	False	0.06117892265319824	
Dart	3140314	3.1415899011	-2.6989e-06	5e-06	5	496	15625000000	2931.0	False	0.005870819091796875	
Dart	7420737	3.1415923686	-2.314e-07	5e-06	5	497	15625000000	16039.0	False	0.033144474029541016	
Dart	9506915	3.1415914684	-1.1316e-06	5e-06	5	498	15625000000	6095.0	False	0.012529373168945312	
Dart	1180429	3.1415915203	-1.0797e-06	5e-06	5	499	15625000000	12642.0	False	0.02612471580505371	
Dart	7933997	3.1415894896	-3.1104e-06	5e-06	5	500	15625000000	92860.0	False	0.19224309921264648	
Dart	8554327	3.1415933474	7.474e-07	5e-07	6	501	15625000000	124342.0	False	0.24841570854187012	
Dart	1445155	3.1415929204	3.204e-07	5e-07	6	502	15625000000	7684.0	False	0.01606130599975586	
Dart	3834841	3.1415926664	6.64e-08	5e-07	6	503	15625000000	174211.0	False	0.345308780670166	
Dart	802568	3.1415925597	-4.03e-08	5e-07	6	504	15625000000	122683.0	False	0.25325846672058105	
Dart	3776548	3.1415931941	5.941e-07	5e-07	6	505	15625000000	32325.0	False	0.06449151039123535	
